Reference,Protein.Accession,GeneName,S01_41,S03_28,S05_51,S07_43,S09_24,S11_21,S13_52,S15_11,S17_14,S19_55,S02_44,S04_31,S06_60,S08_46,S10_26,S12_25,S14_53,S16_13,S18_16,S20_50,T01_42,T03_54,T05_27,T07_15,T09_39,T11_12,T13_29,T15_18,T17_47,T19_58,T02_40,T04_57,T06_30,T08_10,T10_38,T12_17,T14_22,T16_19,T18_48,T20_59,Accession_primary
SiltuxHC,SiltuxHC,SiltuxHC,270240055.9,162661142.9,278539927.5,335989661.5,308700534.1,224370240.3,260958548.4,234024082.9,98367563.76,124593430,308771602.5,170252961.5,231857255,341612760.9,306794822.9,372443924.9,386917000,348687163.9,74009201.27,145803330.7,333535233.2,257141789.1,310048589.1,350553354.7,192813831.5,238438160.6,231286908.5,397463940.8,183796257.5,235048697.1,300787797.4,487216089.9,310044913.4,337740259.4,184031989.5,316367545.5,229952476.1,631196325.9,146711788.8,356689635.4,SiltuxHC
SiltuxLC,SiltuxLC,SiltuxLC,165508461.3,158264806.4,179277238.7,229222324.6,243595419,172796767.8,154083405.6,235083176.2,110827781.6,149750630,215625016,203181734.5,152534171.8,220972115.5,177995590.4,224340699.7,208150890,327103925.1,95597858.3,196815297.5,214124742.3,124312254.3,182171673.5,245531907.3,175257519.3,179034780.4,176331134.3,322429498.5,144942258.1,265162437.2,215548853.8,209389894.2,196759132.1,250107049.9,193557875.4,200494890.9,167061284.7,392338039.2,110380505.6,253323122.7,SiltuxLC
TocilHC,TocilHC,TocilHC,274989396,163317362.1,281752060,347845660.1,314810743.6,228568617.7,263599979.2,239742988.7,100793098.6,126832590,312345229.5,170427431.5,233230042,344640290.9,308933999.5,378173810.4,388716160,351691918.8,75133878.07,146609498.2,341865029.4,259336208.8,314607421,355406452.9,194620610.2,241369486.9,236228934.2,404481985.5,185354608.3,237522895,305631286.3,492665685.8,314867504.8,342319976.3,185059428,325384707.4,233459961.5,640238150.4,147581935.6,361307400.3,TocilHC
TocilLC,TocilLC,TocilLC,168438164.1,161736650.2,182345996.9,233692085.7,249258843.7,175896640.2,156684923.2,238562656.6,113790725.9,152960220,218225027.1,205898841.4,154794210,225422946.6,181039242.8,227320973,210619900,331029557.7,98021820.63,200311590.2,217769685.4,126723392.7,185368739,250980362.3,178487739.1,182741258.8,180409096.1,328211202.2,148428785.1,270364120.2,220077313.4,213552602.5,201162641.2,256003073.6,196909745.6,204819071.7,170795096.8,399679601.6,113015598.6,258786914.5,TocilLC
apoE_E2,apoE_E2,apoE_E2,9541.382433,13994.53894,9715.411392,8074.769053,5685.783679,8625.168488,8634.019783,6656790.123,13982.98507,7290,11454.99064,9487.793268,7100.241379,14460.8209,17536.1991,16022.52111,11500,6988479.263,4418.876081,11807.58185,1721.57226,5301.453911,11516.76781,13221.53392,11121.78738,5274697.036,11324.14012,10679.57746,10460.57047,13499.01269,9120.226469,7879.623262,10716.94683,4833.65784,10828.38607,5235249.926,11726.33229,12747.62532,7767.800587,16572.92147,apoE_E2
apoE_E4,apoE_E4,apoE_E4,798343.1331,23348.83384,1646820.886,15556.09122,45977.36399,1266739.529,1462100.211,37850.58789,14341.11045,20956,1263349.561,66681.54029,2327043.103,25674.2444,54502.72463,1261562.715,1228900,116429.0351,41813.25072,20605.19816,840626.7867,634518.3774,1929650.591,19847.21239,26886.18283,54555.71908,649866.7618,21986.08568,1032203.859,706796.897,1233424.77,1165519.211,2816580.103,70919.16537,24283.42922,39757.15704,932084.953,105420.9728,1189283.871,1159172.276,apoE_E4
sp|A0A075B6H7|KV37_HUMAN,A0A075B6H7,IGKV3-7,9916832.78,6709614.597,9374678.797,8042567.263,12591773.64,7005869.724,10404758.88,12013624.04,4665186.567,6427100,11972115.51,6496159.13,8372009.655,8535132.774,10523135.42,10741308.41,12549900,18017949.6,3940083.573,12524263.35,12008189.52,8880180.285,8555774.513,10876848.97,9848588.785,11500512.48,7902113.172,16673885.86,5858673.378,12707038.93,13298072.47,13490076.24,10077629.5,11598263.56,10157335.52,9786300.609,7310998.433,23046667.88,4515503.519,13350213.31,A0A075B6H7
sp|A0A075B6H9|LV469_HUMAN,A0A075B6H9,IGLV4-69,1618576.517,1403767.279,719217.7215,742878.7529,726601.6839,626309.8235,538260.094,2442011.758,416029.0149,679800,1851534.207,1613154.029,578594.1379,1505182.836,644155.7854,1025125.117,775900,3072795.507,423891.6138,1175338.311,1742445.209,361322.0122,640633.6634,669685.6047,1041018.984,789433.2019,1694561.42,2154209.214,5046518.456,1802973.766,1804488.323,795620.2721,723365.0086,669811.5589,1105836.036,943972.5256,1492096.552,1684575.079,1248678.886,1472089.75,A0A075B6H9
sp|A0A075B6I0|LV861_HUMAN,A0A075B6I0,IGLV8-61,3784002.415,1484763.07,3259088.608,4318542.148,5918235.104,3475242.379,2994584.077,1089653.145,407216.7164,1838000,5193576.264,2130170.01,3507124.138,3696940.299,4692294.764,5316947.138,3799000,2081013.825,454610.0865,2551211.947,4176373.743,2030427.45,3119214.309,4304454.277,1825744.743,3747396.7,4977280.076,8196575.704,2754616.89,3079105.783,4807198.868,4090955.3,3787348.199,4444340.602,2248179.203,4739754.769,4250003.135,8403990.025,1903407.625,3000734.594,A0A075B6I0
sp|A0A075B6I1|LV460_HUMAN,A0A075B6I1,IGLV4-60,220224.8717,191274.6743,8119.993671,103881.4174,194658.9702,113013.7876,499243.0679,351779.659,44246.59104,207060,280074.5211,171307.3784,9933.365517,94791.72886,192887.298,170724.1789,630800,413096.7742,48753.31412,318514.3596,256862.1493,412572.6665,13593.01501,201812.3009,256686.9159,143282.815,376474.2431,462880.5751,11280.45302,222600.6206,261471.9321,675309.9118,12695.01544,219570.5478,340939.47,119786.8584,348673.511,457894.7014,13030.33724,193240.2643,A0A075B6I1
