"pathway","pval.t","padj.t","log2err.t","ES.t","NES.t","size.t","pval.s","padj.s","log2err.s","ES.s","NES.s","size.s"
"1-alkyl-2-acetylglycerophosphocholine esterase complex",0.507905138339921,0.836036293006261,0.0776798560117236,-0.290025498349474,-0.947568281047444,20,0.357142857142857,0.680257542310522,0.102821842840815,-0.318025498847993,-1.07195137975633,20
"3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex",0.374207188160677,0.747893921261324,0.0985499803531691,0.398032605857386,1.05974470827313,10,0.322134387351779,0.652901431064183,0.103576326612592,0.42289456425833,1.12570373752237,10
"3-methylcrotonyl-CoA carboxylase complex, mitochondrial",0.514,0.841958813037133,0.0776798560117236,0.387118719165106,0.940125172523151,7,0.408366533864542,0.726434355828221,0.0899860794997137,0.438822152985235,1.03533015393242,7
"4-aminobutyrate transaminase complex",0.862704918032787,0.983049920989078,0.0535669384770951,0.214490190289625,0.719152000492887,22,0.477797513321492,0.76924736337488,0.0753093764172773,0.295907972158837,0.98358548724745,22
"5-lipoxygenase complex",0.907114624505929,0.988150627999489,0.0495901956956338,-0.216644457780515,-0.681180704756468,18,0.0569620253164557,0.26925799467022,0.276500599254472,-0.462321259550847,-1.52234177606834,18
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex",0.75609756097561,0.959996793330127,0.0593487680335629,0.263286448264932,0.783982263256737,14,0.567510548523207,0.81864587106121,0.0753093764172773,-0.308437576677165,-0.9230776100402,14
"6-phosphofructokinase complex",0.762745098039216,0.962701309082332,0.0572461135202884,-0.266013304011688,-0.785935960718579,14,0.143459915611814,0.419861300884271,0.169570644405628,-0.430031105331562,-1.28697705781772,14
"A band",0.360078277886497,0.736034829762299,0.096240602328129,-0.376871919541172,-1.05652696547711,12,0.564315352697095,0.81864587106121,0.0747385227439092,-0.320241727765015,-0.919333706014778,12
"ACF complex",0.215885947046843,0.584422012223898,0.132846300606183,0.492623225756726,1.23518997867599,8,0.355555555555556,0.680257542310522,0.0988903007520636,0.439156616742958,1.08220291135267,8
"AIM2 inflammasome complex",0.61839530332681,0.896704390394174,0.0672065093710464,-0.359599745914668,-0.878344894351805,8,0.85207100591716,0.969063828296511,0.0523759084097997,-0.275090100883008,-0.69916265511717,8
"AP-1 adaptor complex",0.551383399209486,0.864708873633359,0.0734381410838857,0.238594129855654,0.948348006293867,43,0.722703639514731,0.898259068517689,0.0540088272801684,0.217185534681252,0.841522218351154,43
"AP-type membrane coat adaptor complex",0.119607843137255,0.452883706271667,0.179782316298324,-0.462702428089062,-1.36705372198609,14,0.970464135021097,1,0.0494904866135495,-0.183764388422728,-0.549961500486361,14
"ARC complex",0.566532258064516,0.870050689946494,0.0730744399126987,0.280918785143509,0.925191310579179,20,0.722222222222222,0.898259068517689,0.0571258510018113,0.25302961540502,0.818225565613636,20
"ASAP complex",0.100409836065574,0.435918230894953,0.20207170902116,0.405146642346433,1.35839321109739,22,0.4874715261959,0.777465686063827,0.0875697115548511,-0.286557279453088,-0.988951650842939,22
"ASTRA complex",0.34826883910387,0.726680227137893,0.100633389423036,0.436911043249898,1.09549877873938,8,0.14949494949495,0.427085969034279,0.161978948883402,0.549173924527396,1.35331587252476,8
"ATG1/ULK1 kinase complex",0.00780855958108059,0.106865715409646,0.407017918923954,-0.593204315377237,-1.75262137824479,14,0.0244611403622091,0.164255414488292,0.352487857583619,-0.559311073834173,-1.67388012467837,14
"ATP-sensitive potassium channel complex",0.810276679841897,0.97673423916287,0.0547939500773363,-0.23032628351473,-0.752519629453795,20,0.205555555555556,0.500649717514124,0.129442887745046,0.366081517483546,1.18380315373048,20
"ATPase complex",0.553606237816764,0.864708873633359,0.0725351864394589,-0.44989788287986,-0.929958441741926,5,0.207243460764588,0.502207172206935,0.135002033828631,-0.588430759881487,-1.23772540521884,5
"ATPase dependent transmembrane transport complex",0.553606237816764,0.864708873633359,0.0725351864394589,-0.44989788287986,-0.929958441741926,5,0.207243460764588,0.502207172206935,0.135002033828631,-0.588430759881487,-1.23772540521884,5
"ATPase inhibitor complex",0.824596774193548,0.983049920989078,0.0549073703290958,0.223475840495098,0.736005979966131,20,0.742424242424242,0.909515190232822,0.0632191170859458,-0.243708022649041,-0.821453474902632,20
"Acetyltransferase complex",0.378167641325536,0.751627801638721,0.0931454575337804,-0.524173581101018,-1.08348953225272,5,0.498993963782696,0.782465757169806,0.0795564677235957,-0.473852984633701,-0.99671859020087,5
"Acid phosphatase complex",0.111776447105788,0.445893112027577,0.188204146308491,0.319241652859345,1.31375003922462,49,0.286689419795222,0.616725593182236,0.101713902282311,0.280656347372093,1.12418982934583,49
"Acidocalcisome",0.74896265560166,0.956674965421853,0.0607719451853533,0.282838309547563,0.783338427496368,11,0.391393442622951,0.707462109495824,0.0940503465727813,-0.376744606142827,-1.0582625394457,11
"Acrosomal matrix",0.334012219959267,0.704809926698189,0.103197466945307,0.443688294049465,1.11249187170153,8,0.474747474747475,0.76924736337488,0.0824344091527096,0.389951017623766,0.960946756733896,8
"Acrosomal membrane",0.225469728601253,0.592116359939463,0.131457611642763,0.543872612140218,1.22837208899626,6,0.49800796812749,0.782465757169806,0.0791316651768349,0.436838685480703,0.977124175727787,6
"Acrosomal vesicle",0.346232179226069,0.724890829694323,0.100990587455923,0.335446827325676,1.08887535874611,19,0.289424860853432,0.619826415866441,0.106323255932708,0.345984857828193,1.10478704982474,19
"Actin cap",0.875494071146245,0.987059745528305,0.051218434854034,-0.213659454027266,-0.698065938113466,20,0.00171652279340611,0.0333675923928111,0.45505986738723,-0.553904778265309,-1.86701693249736,20
"Actin cortical patch",0.58498023715415,0.878048780487805,0.0704500850658419,-0.232420439609362,-0.937903377717261,47,0.00537187277625233,0.0654184845718187,0.407017918923954,-0.405268629479377,-1.71397060303859,47
"Actin cytoskeleton",0.143418467583497,0.490039124604261,0.163180127180689,-0.307536992925762,-1.26019539111842,50,0.0985221674876847,0.339609264219316,0.224966093540314,-0.302945337625964,-1.28669759694994,50
"Actin cytoskeleton-regulatory complex",0.195121951219512,0.559711121028928,0.140406238523342,0.411594379171981,1.2255955255331,14,0.734177215189873,0.902491581033232,0.0625237414724762,-0.271883873411063,-0.813681389863342,14
"Actin filament",0.143418467583497,0.490039124604261,0.163180127180689,-0.307536992925762,-1.26019539111842,50,0.0985221674876847,0.339609264219316,0.224966093540314,-0.302945337625964,-1.28669759694994,50
"Actin filament bundle",0.0261010666333073,0.226662040543023,0.352487857583619,-0.453370094901416,-1.58846792568164,27,0.172018348623853,0.458665815512289,0.160801401070022,-0.335136223611611,-1.23468461657704,27
"Actin rod",0.233962264150943,0.602233255908113,0.121543282035469,-0.44796881790843,-1.18956693356606,10,0.0260907867733964,0.167237741749552,0.352487857583619,-0.606120438693677,-1.65240568575196,10
"Activin A complex",0.290721649484536,0.673983396651189,0.112843355675562,0.256109994629088,1.08542404254091,58,0.807432432432432,0.947167677881964,0.0477342401407188,0.19491832793289,0.803102066535787,58
"Activin AB complex",0.540322580645161,0.8588977305167,0.0755015292281669,0.247245843963249,0.944558374193285,36,0.580817051509769,0.823923102684638,0.0655321029282414,0.244722634474363,0.916926196993355,36
"Activin B complex",0.98422090729783,1,0.04577044581081,-0.182979092971346,-0.529013758543966,13,0.219959266802444,0.522981272272348,0.131457611642763,-0.408720346542219,-1.21126354662489,13
"Activin complex",0.204166666666667,0.567480657640232,0.13880510939114,0.267032392180851,1.16323161334199,66,0.503344481605351,0.782465757169806,0.0696133438850965,0.229570906877738,0.976428664190734,66
"Activin receptor complex",0.837944664031621,0.983049920989078,0.0532386494755899,-0.223366822353656,-0.72978175058816,20,0.794372294372294,0.939472560244575,0.059989249649033,-0.233727175669331,-0.787811572823103,20
"Actomyosin",0.0110846801867102,0.137316253692264,0.380730400722792,-0.484641096749865,-1.67035259229435,26,0.0254017653720041,0.167237741749552,0.352487857583619,-0.447698813019442,-1.62493916800713,26
"Actomyosin contractile ring",0.257668711656442,0.632694463542425,0.120433371642259,-0.307865699317982,-1.13388501569748,33,0.0170018498938546,0.136489711159045,0.352487857583619,-0.401066801496286,-1.5645216631426,33
"Adenylyltransferase complex",0.0818713450292398,0.402036500862097,0.219250346703755,-0.676758825422048,-1.39888985183921,5,0.0281454125050885,0.171646905660191,0.352487857583619,-0.75788533212224,-1.59416195373495,5
"Adherens junction",0.0201165894774059,0.199362338476085,0.352487857583619,-0.424707825005479,-1.64350952889306,39,0.00361428409217622,0.0535435694892498,0.431707695803346,-0.430790844838739,-1.75596583315959,39
"Aggresome",0.513207547169811,0.841958813037133,0.0747385227439092,-0.357575444150486,-0.949530207487706,10,0.639112903225806,0.857521234300172,0.0670512579829467,-0.319984446118622,-0.872341673971862,10
"Amino acid transport complex",0.0684647302904564,0.371551362683438,0.248911114434702,0.527904878441,1.46206565159835,11,0.848249027237354,0.967407819158792,0.0519512476197082,0.251385378784545,0.695555668294863,11
"Amphisome",0.172199170124481,0.524258914128982,0.152144922367565,-0.345574727135982,-1.2510408872455,31,0.0247104698810046,0.164393264902794,0.352487857583619,-0.415168876803028,-1.58242756916085,31
"Amyloplast",0.104294478527607,0.436532403240324,0.197822021315103,-0.355310707941034,-1.30862739351512,33,0.225,0.52917348608838,0.138022242496643,-0.300641025777954,-1.17277071027625,33
"Anchored component of membrane",0.492,0.835349480968858,0.0799858801499946,0.251438359088727,0.973471849557552,39,0.836007130124777,0.95798479389216,0.0486034247259069,0.204275395747407,0.771539755259954,39
"Anchored component of plasma membrane",0.912423625254583,0.988150627999489,0.0507027937029348,0.250980897569398,0.629302625836644,8,0.469428007889546,0.765342435906747,0.0817515582532145,-0.38475238074841,-0.97787777612948,8
"Anchoring collagen complex",0.248091603053435,0.617862042136729,0.118287526124085,-0.384561744649511,-1.16279651040062,15,0.0537640333506298,0.261733254994125,0.321775918075361,-0.503059958846859,-1.54542649341976,15
"Anchoring junction",0.0091010796575248,0.115736738653656,0.380730400722792,-0.431849655194872,-1.6838074459438,40,0.0113532512379121,0.101333056079998,0.380730400722792,-0.408592627677329,-1.67242900858885,40
"Annulate lamellae",0.157575757575758,0.5057875320787,0.157402899305283,0.433930566847582,1.26852681703562,13,0.0665362035225049,0.281105323025872,0.245041785430996,0.516491649094123,1.47268274513175,13
"Annuli extracellular matrix",0.784431137724551,0.974267540976819,0.0567672387487446,-0.245703520661208,-0.762231001030043,17,0.990458015267176,1,0.0439759278026345,0.163290674295393,0.49694177444449,17
"Apical complex",0.0855949895615866,0.409279682066567,0.222056046145248,0.210540568053968,1.16643462852217,319,0.375912408759124,0.695471344569133,0.135002033828631,-0.176174263835492,-1.01871832582767,319
"Apical cytoplasm",0.00529611630273858,0.0839727385158887,0.407017918923954,0.497896916102555,1.75989847256884,28,0.0263773835291664,0.167237741749552,0.352487857583619,0.429510955790166,1.5090918125257,28
"Apical junction complex",0.765531062124248,0.962858092942057,0.0580983576873206,-0.237437427671371,-0.797928532436605,23,0.204597701149425,0.499162812481705,0.14641623786055,-0.339260589416351,-1.18722519576154,23
"Apical part of cell",0.433145009416196,0.802099714601899,0.0835990603684159,-0.222526305032679,-1.01121962969387,79,0.599483204134367,0.833130913289251,0.083129129135339,-0.195142398970935,-0.928221917605227,79
"Apical plasma membrane",0.473794549266247,0.827450553438577,0.0845557442441281,0.231391288862284,0.992730987614435,62,0.492537313432836,0.778560371517028,0.0702812841717392,0.232215308819195,0.978718343380157,62
"Apical recycling endosome",0.0447137875177653,0.308912080110715,0.321775918075361,0.497733248323755,1.54907747910506,16,0.0897196261682243,0.327226149248067,0.204294756516886,0.459213869760707,1.38832015219147,16
"Apicoplast",0.225296442687747,0.592116359939463,0.127505315300183,-0.366244227808142,-1.19658931839687,20,0.82034632034632,0.955297943547538,0.0584693210386381,-0.225917048908728,-0.761486400195665,20
"Apolipoprotein B mRNA editing enzyme complex",0.770491803278688,0.962858092942057,0.0588438169595807,0.236509819468955,0.792980366969903,22,0.632326820603908,0.851596664674616,0.0614364107201271,0.263134896234404,0.874649179730772,22
"Apoplast",0.325396825396825,0.696025910364146,0.103197466945307,0.269876017178434,1.07982868198653,45,0.649913344887348,0.864495474415483,0.0589694466690997,0.224274785295803,0.877763672588946,45
"Apoptosome",0.14591439688716,0.493362325474937,0.160801401070022,-0.387257769171327,-1.3002228400545,22,0.680284191829485,0.872828913981223,0.0579754757571486,0.255559882370484,0.84947015650983,22
"Apoptotic body",0.626436781609195,0.905623395545688,0.0655321029282414,-0.222472284224924,-0.922340775739418,51,0.362282878411911,0.685000652997257,0.110564716336619,-0.245959847508267,-1.04898775953433,51
"Arbuscule",0.172,0.524258914128982,0.149207542435322,-0.319697069248508,-1.22095509047475,38,0.037586834917372,0.205049543457414,0.321775918075361,-0.375096611056636,-1.50910222452042,38
"Arp2/3 protein complex",0.663405088062622,0.923657011308754,0.0637845390312975,-0.343399750933997,-0.838775392311129,8,0.00259862715161012,0.0433758269032088,0.431707695803346,-0.75903500198666,-1.92914585298565,8
"Aryl hydrocarbon receptor complex",0.436,0.804747633343392,0.0865399737444125,-0.265863121523436,-1.01535785847703,38,0.360091743119266,0.682654135702355,0.105920292736253,-0.264422906270908,-1.06383578071659,38
"Asi complex",0.5,0.835349480968858,0.0791316651768349,-0.247681144974875,-0.97312283124224,41,0.677494199535963,0.871318960821951,0.0711327399327894,-0.212834141544542,-0.875749396774754,41
"Aster",0.214,0.581319470699433,0.132147260608774,-0.301349273599204,-1.18398135775494,41,0.4430823117338,0.744748079789063,0.0785029047348687,0.262365132057406,1.00510763355972,41
"Astral microtubule",0.00162174546125485,0.0435527627516305,0.45505986738723,-0.512210459916428,-1.88649715336712,33,0.00425067080393801,0.0576246598609332,0.407017918923954,-0.453998360318621,-1.77100240433707,33
"Autophagosome",0.0843137254901961,0.407942166765696,0.216542836735348,-0.489865807157832,-1.44730789011536,14,0.971590909090909,1,0.0445070537769277,0.186849194146694,0.546945073671525,14
"Autosome",0.194059405940594,0.559711121028928,0.13880510939114,-0.299460488904416,-1.20165303052085,46,0.829383886255924,0.956866272189349,0.062249042949858,-0.188645920471585,-0.793926525157463,46
