pathway,pval,padj,log2err,ES,NES,size
1-alkyl-2-acetylglycerophosphocholine esterase complex,0.217699115,0.983649444,0.12210792,-0.444597393,-1.215229576,21
3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex,0.195505618,0.98228626,0.1482615,0.546375561,1.272104828,10
"3-methylcrotonyl-CoA carboxylase complex, mitochondrial",0.804387569,1,0.051530912,-0.359960877,-0.733646226,7
4-aminobutyrate transaminase complex,0.79787234,1,0.050498304,-0.276164931,-0.759924707,22
5-lipoxygenase complex,0.691588785,1,0.070450085,0.302844897,0.836983359,19
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex",0.570776256,1,0.079131665,0.351481715,0.905159602,14
6-phosphofructokinase complex,0.893617021,1,0.045315244,-0.262606241,-0.645037474,14
A band,0.336917563,1,0.094975153,-0.470022491,-1.115713258,12
ACF complex,0.323076923,1,0.110122264,0.520067831,1.129770694,8
AIM2 inflammasome complex,0.142857143,0.979495798,0.173747839,0.630027647,1.368642184,8
AP-1 adaptor complex,0.774881517,1,0.065532103,0.241531255,0.813532562,43
AP-type membrane coat adaptor complex,0.929078014,1,0.043537824,-0.236954969,-0.582030473,14
ARC complex,0.041629245,0.892889951,0.321775918,0.525915433,1.513139563,21
ASAP complex,0.79787234,1,0.050498304,-0.276212991,-0.760056955,22
ASTRA complex,0.364835165,1,0.102449406,0.50513386,1.097328844,8
ATG1/ULK1 kinase complex,0.412556054,1,0.096240602,0.389531353,1.02733333,15
ATP-sensitive potassium channel complex,0.465882353,1,0.091968614,0.347869761,0.981747247,20
ATPase complex,0.86252354,1,0.049690139,-0.348796299,-0.657493018,5
ATPase dependent transmembrane transport complex,0.86252354,1,0.049690139,-0.348796299,-0.657493018,5
ATPase inhibitor complex,0.689716312,1,0.057246114,-0.303306792,-0.834611128,22
Acetyltransferase complex,0.131826742,0.965763349,0.166933849,-0.724487744,-1.365684309,5
Acid phosphatase complex,0.966981132,1,0.05479395,0.195444352,0.67921565,50
Acidocalcisome,0.40647482,1,0.084555744,-0.458201988,-1.053675665,11
Acrosomal matrix,0.917117117,1,0.044864511,-0.265771814,-0.586554401,9
Acrosomal membrane,0.215722121,0.983649444,0.125033368,-0.641038983,-1.263304986,6
Acrosomal vesicle,0.888501742,1,0.044774889,-0.249520361,-0.667583606,19
Actin cap,0.998266898,1,0.039195634,-0.133457259,-0.362579009,20
Actin cortical patch,0.637647059,1,0.074927882,0.262601932,0.909764377,48
