pathway,pval,padj,log2err,ES,NES,size
1-alkyl-2-acetylglycerophosphocholine esterase complex,0.459143969,0.960671121,0.082205492,-0.355422904,-0.997432199,21
3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex,0.002479813,0.144523523,0.431707696,0.783365884,1.773993688,10
"3-methylcrotonyl-CoA carboxylase complex, mitochondrial",0.26640159,0.85873256,0.116234149,0.583610715,1.198743192,7
4-aminobutyrate transaminase complex,0.263581489,0.85873256,0.117765788,0.402161715,1.134078381,22
5-lipoxygenase complex,0.280163599,0.864557346,0.114750719,0.421024048,1.142417906,19
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex",0.12992126,0.730462436,0.172324345,0.538546204,1.349006095,14
6-phosphofructokinase complex,0.208661417,0.831289379,0.132846301,0.499781349,1.251903886,14
A band,0.087221095,0.712172151,0.216542837,-0.587926375,-1.4260017,12
ACF complex,0.078156313,0.712172151,0.227987203,0.694137072,1.459505851,8
AIM2 inflammasome complex,0.30417495,0.890825681,0.107554375,-0.527578265,-1.151417195,8
AP-1 adaptor complex,0.305084746,0.890825681,0.111462667,0.335536079,1.099155544,43
AP-type membrane coat adaptor complex,0.05465587,0.704722153,0.276500599,-0.607252434,-1.527018486,14
ARC complex,0.657786885,1,0.066436414,0.312167748,0.86591948,21
ASAP complex,0.120724346,0.730462436,0.181383128,0.46225807,1.303547463,22
ASTRA complex,0.284569138,0.864557346,0.112378519,0.564519918,1.18697035,8
ATG1/ULK1 kinase complex,0.072,0.712172151,0.237793834,-0.577422374,-1.475143455,15
ATP-sensitive potassium channel complex,0.641393443,1,0.06767604,0.321962077,0.883613292,20
ATPase complex,0.420118343,0.943162444,0.087831263,0.558414791,1.052204745,5
ATPase dependent transmembrane transport complex,0.420118343,0.943162444,0.087831263,0.558414791,1.052204745,5
ATPase inhibitor complex,0.722334004,1,0.061036373,0.29454844,0.830613669,22
Acetyltransferase complex,0.076767677,0.712172151,0.23112671,-0.769465923,-1.464371277,5
Acid phosphatase complex,0.095137421,0.722792947,0.211400189,0.38985436,1.33334236,50
Acidocalcisome,0.879759519,1,0.051635596,0.292935779,0.679992666,11
Acrosomal matrix,0.675456389,1,0.064648457,-0.382791057,-0.852341753,9
Acrosomal membrane,0.841683367,1,0.05367696,-0.350857866,-0.696401989,6
Acrosomal vesicle,0.473684211,0.963907674,0.08063885,-0.357484067,-0.978470662,19
Actin cap,0.045288769,0.659857367,0.321775918,0.540265695,1.482739686,20
Actin cortical patch,0.936305732,1,0.051426492,0.20273774,0.683129729,48
Actin cytoskeleton,0.02361477,0.505981181,0.352487858,-0.469840499,-1.587836223,50
Actin cytoskeleton-regulatory complex,0.25984252,0.85873256,0.117249717,0.477376571,1.195782088,14
Actin filament,0.02361477,0.505981181,0.352487858,-0.469840499,-1.587836223,50
Actin filament bundle,0.761904762,1,0.055942859,-0.269496603,-0.805679809,28
Actin filament bundle of actin-based cell projection,0.321212121,0.897559826,0.105125132,-0.599936008,-1.141738746,5
Actin rod,0.483300589,0.967057919,0.07998588,0.434249275,0.983391654,10
Activin A complex,0.96049896,1,0.049291766,0.190079228,0.676363688,61
Activin AB complex,0.966165414,1,0.044418115,-0.205150943,-0.652047607,38
