logFC.t,AveExpr.t,t.t,P.Value.t,adj.P.Val.t,B.t,#NAME?,gene,ID,logFC.s,AveExpr.s,t.s,P.Value.s,adj.P.Val.s,B.s,#NAME?,UniProtID
3.034952369,17.44166257,13.16212254,1.86E-08,6.16E-05,8.756704072,4.210578711,Tocil_filtered,Tocil_filtered,-0.066401653,16.28422767,-0.471186466,0.646270569,0.941190004,-6.035731077,0.026322694,NA
-0.951124647,31.75370569,-6.750839402,2.11E-05,0.010169386,3.075564566,1.992705281,CO4B,sp|P0C0L5|CO4B_HUMAN,-0.917228764,31.76378998,-7.117021318,1.49E-05,0.012351669,3.300097581,1.908274349,P0C0L5
-0.950400682,31.73610447,-6.74082241,2.14E-05,0.010169386,3.062664572,1.992705281,CO4A,sp|P0C0L4|CO4A_HUMAN,-0.915697391,31.74083105,-7.12227794,1.48E-05,0.012351669,3.306133863,1.908274349,P0C0L4
-1.702825911,16.27986254,-6.922010017,1.66E-05,0.010169386,3.293569659,1.992705281,OR5C1,sp|Q8NGR4|OR5C1_HUMAN,-1.040228072,16.19725094,-4.85308941,0.000440193,0.098136887,0.281892578,1.008167722,Q8NGR4
-3.02730461,20.74809961,-6.906023669,1.70E-05,0.010169386,3.273402784,1.992705281,ZN185,sp|O15231|ZN185_HUMAN,-2.75421336,20.77157045,-4.597823517,0.000674285,0.117786892,-0.111415975,0.928903039,O15231
-0.870875575,17.79661675,-7.050136343,1.39E-05,0.010169386,3.453773363,1.992705281,PAFA,sp|Q13093|PAFA_HUMAN,-0.522648308,17.50635845,-1.696239683,0.116562195,0.694998681,-4.823378402,0.15801602,Q13093
-0.941393919,13.87969709,-6.945792769,1.61E-05,0.010169386,3.323498356,1.992705281,SGTA,sp|O43765|SGTA_HUMAN,-0.306162184,13.77739007,-1.353308976,0.201815833,0.755926709,-5.270493487,0.12152031,O43765
-1.075654734,15.86491436,-5.999704304,6.40E-05,0.023613559,2.063703066,1.626838553,ELAP2,sp|A8MWY0|ELAP2_HUMAN,-1.167997025,15.75612358,-7.532828837,8.60E-06,0.012351669,3.764616685,1.908274349,A8MWY0
-2.102853241,17.73389555,-6.062455671,5.82E-05,0.023613559,2.151734128,1.626838553,STK10,sp|O94804|STK10_HUMAN,-1.582607602,17.67772501,-2.899241739,0.01380313,0.457044243,-2.918332168,0.340041757,O94804
-1.29811963,14.4037816,-5.75495983,9.34E-05,0.028975584,1.714201047,1.537967795,MSPD3,sp|O75425|MSPD3_HUMAN,-0.780189618,14.4719916,-4.848531347,0.000443523,0.098136887,0.274959044,1.008167722,O75425
-1.321045833,14.06819438,-5.707192938,0.00010067,0.028975584,1.64484378,1.537967795,VP13B,sp|Q7Z7G8|VP13B_HUMAN,-0.374679994,14.17571958,-1.894132663,0.083478655,0.632405319,-4.538672731,0.199004486,Q7Z7G8
1.006170254,12.84263163,5.630962595,0.000113493,0.028975584,1.533383875,1.537967795,NRAM2,sp|P49281|NRAM2_HUMAN,0.319339044,12.63298764,1.470283402,0.168158761,0.73021814,-5.125423052,0.136547383,P49281
-0.833197032,12.86914307,-5.668750965,0.000106934,0.028975584,1.588754867,1.537967795,IF6,sp|P56537|IF6_HUMAN,-0.153058761,12.84930337,-0.665907864,0.518531058,0.907970132,-5.92417185,0.041928438,P56537
-0.753041316,17.04636421,-5.561596691,0.000126664,0.030028522,1.431135058,1.52246604,IF5A2,sp|Q9GZV4|IF5A2_HUMAN / sp|P63241|IF5A1_HUMAN,-0.129728298,17.03959769,-0.850035266,0.412556475,0.871051343,-5.786563503,0.059956245,Q9GZV4
-1.173734011,13.0295782,-5.439529885,0.000153917,0.031928736,1.249297536,1.495818269,CENPE,sp|Q02224|CENPE_HUMAN,-1.159361136,13.00941036,-3.521587592,0.004443506,0.315655191,-1.865518058,0.500787064,Q02224
0.990654623,15.38351797,5.401808445,0.00016354,0.031928736,1.19261591,1.495818269,AMER3,sp|Q8N944|AMER3_HUMAN,0.373883211,15.60245972,2.670391093,0.020963372,0.527621436,-3.302685305,0.277677568,Q8N944
-0.939395783,10.20773151,-5.416558513,0.000159703,0.031928736,1.214807359,1.495818269,SQSTM,sp|Q13501|SQSTM_HUMAN,0.069261981,10.01804001,0.296219805,0.772313673,0.97095041,-6.104454665,0.012802951,Q13501
1.041811079,19.68866184,5.339658943,0.000180803,0.033338131,1.098725686,1.477058757,HAIR,sp|O43593|HAIR_HUMAN,0.344730606,19.88383855,2.257631789,0.044172039,0.588783118,-3.978166751,0.230044651,O43593
