From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,GeneName
Q13093,Q13093,reviewed,PAFA_HUMAN,Platelet-activating factor acetylhydrolase (PAF acetylhydrolase) (EC 3.1.1.47) (1-alkyl-2-acetylglycerophosphocholine esterase) (2-acetyl-1-alkylglycerophosphocholine esterase) (Group-VIIA phospholipase A2) (gVIIA-PLA2) (LDL-associated phospholipase A2) (LDL-PLA(2)) (PAF 2-acylhydrolase),PLA2G7 PAFAH,Homo sapiens (Human),441,PLA2G7
O43765,O43765,reviewed,SGTA_HUMAN,Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP),SGTA SGT SGT1,Homo sapiens (Human),313,SGTA
Q8NGR4,Q8NGR4,reviewed,OR5C1_HUMAN,Olfactory receptor 5C1 (Olfactory receptor 5C2) (Olfactory receptor 9-F) (OR9-F),OR5C1 OR5C2P,Homo sapiens (Human),320,OR5C1
O15231,O15231,reviewed,ZN185_HUMAN,Zinc finger protein 185 (LIM domain protein ZNF185) (P1-A),ZNF185,Homo sapiens (Human),689,ZNF185
P0C0L5,P0C0L5,reviewed,CO4B_HUMAN,Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; Complement C4b-B; C4d-B; Complement C4 gamma chain],C4B CO4 CPAMD3; C4B_2,Homo sapiens (Human),1744,C4B
P0C0L4,P0C0L4,reviewed,CO4A_HUMAN,Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; Complement C4b-A (Complement C4b-alpha' chain); Complement C4d-A; Complement C4 gamma chain],C4A CO4 CPAMD2,Homo sapiens (Human),1744,C4A
O94804,O94804,reviewed,STK10_HUMAN,Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase),STK10 LOK,Homo sapiens (Human),968,STK10
A8MWY0,A8MWY0,reviewed,ELAP2_HUMAN,Endosome/lysosome-associated apoptosis and autophagy regulator family member 2 (Estrogen-induced gene 121-like protein) (hEIG121L),ELAPOR2 EIG121L KIAA1324L,Homo sapiens (Human),1029,ELAPOR2
O75425,O75425,reviewed,MSPD3_HUMAN,Motile sperm domain-containing protein 3,MOSPD3,Homo sapiens (Human),235,MOSPD3
Q7Z7G8,Q7Z7G8,reviewed,VP13B_HUMAN,Intermembrane lipid transfer protein VPS13B (Cohen syndrome protein 1) (Vacuolar protein sorting-associated protein 13B),VPS13B CHS1 COH1 KIAA0532,Homo sapiens (Human),4022,VPS13B
P56537,P56537,reviewed,IF6_HUMAN,Eukaryotic translation initiation factor 6 (eIF-6) (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP)),EIF6 EIF3A ITGB4BP OK/SW-cl.27,Homo sapiens (Human),245,EIF6
P49281,P49281,reviewed,NRAM2_HUMAN,Natural resistance-associated macrophage protein 2 (NRAMP 2) (Divalent cation transporter 1) (Divalent metal transporter 1) (DMT-1) (Solute carrier family 11 member 2),SLC11A2 DCT1 DMT1 NRAMP2 OK/SW-cl.20,Homo sapiens (Human),568,SLC11A2
Q9GZV4,Q9GZV4,reviewed,IF5A2_HUMAN,Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2),EIF5A2,Homo sapiens (Human),153,EIF5A2
Q02224,Q02224,reviewed,CENPE_HUMAN,Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE),CENPE,Homo sapiens (Human),2701,CENPE
Q13501,Q13501,reviewed,SQSTM_HUMAN,Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62) (p62),SQSTM1 ORCA OSIL,Homo sapiens (Human),440,SQSTM1
Q8N944,Q8N944,reviewed,AMER3_HUMAN,APC membrane recruitment protein 3 (Amer3) (Protein FAM123C),AMER3 FAM123C,Homo sapiens (Human),861,AMER3
O43593,O43593,reviewed,HAIR_HUMAN,Lysine-specific demethylase hairless (EC 1.14.11.65) ([histone H3]-dimethyl-L-lysine(9) demethylase hairless),HR,Homo sapiens (Human),1189,HR
Q9H4I2,Q9H4I2,reviewed,ZHX3_HUMAN,Zinc fingers and homeoboxes protein 3 (Triple homeobox protein 1) (Zinc finger and homeodomain protein 3),ZHX3 KIAA0395 TIX1,Homo sapiens (Human),956,ZHX3
P08697,P08697,reviewed,A2AP_HUMAN,Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2),SERPINF2 AAP PLI,Homo sapiens (Human),491,SERPINF2
Q16610,Q16610,reviewed,ECM1_HUMAN,Extracellular matrix protein 1 (Secretory component p85),ECM1,Homo sapiens (Human),540,ECM1
Q5T5U3,Q5T5U3,reviewed,RHG21_HUMAN,Rho GTPase-activating protein 21 (Rho GTPase-activating protein 10) (Rho-type GTPase-activating protein 21),ARHGAP21 ARHGAP10 KIAA1424,Homo sapiens (Human),1958,ARHGAP21
